index,disease_name,supplement name,supplement image,buy link
23,Potato___healthy,Saosis Fertilizer for potato Fertilizer,https://rukminim1.flixcart.com/image/416/416/kfvfwy80/soil-manure/6/p/g/30-fertilizer-for-potato-saosis-original-imafw8b3sgcyrhh4.jpeg?q=70,https://www.google.com/search?rlz=1C1ONGR_enIN987IN987&tbm=shop&q=potato+fertilizer&spell=1&sa=X&ved=0ahUKEwiS_4Hcj7L2AhWHCt4KHQMpAqMQBQi4BSgA&biw=1920&bih=929&dpr=1
24,Raspberry___healthy,"Karen's Naturals, Organic Just Raspberries",https://s3.images-iherb.com/jte/jte29001/v/6.jpg,https://www.google.com/search?q=raspberry+fertilizer&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=CUh5YujFGY6Q-AbXmpH4BA&oq=ras+fertilizer&gs_lcp=Cgtwcm9kdWN0cy1jYxADGAAyBggAEAcQHjIICAAQBxAFEB4yCAgAEAgQBxAeMggIABAIEAcQHjoECAAQDUoECEEYAFAAWNoBYPsMaABwAHgAgAF2iAHPApIBAzAuM5gBAKABAcABAQ&sclient=products-cc
25,Soybean___healthy,Max Crop Liquid Fertilizer,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRyFZFHGj1Wi0fabSOYVadCnsg8UdvhpKOHI6gxmItDLmz7RdC67HFFNyU7PYyD6SnlgXOs31yW_8-YWJKOeal7K4UQ3lAIxef-4x350ac&usqp=CAE,https://www.google.com/search?q=soybean+fertilizer&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=Lkh5YvGEE4_FhwPS55noDg&ved=0ahUKEwjx05Lt8dL3AhWP4mEKHdJzBu0Q4dUDCAY&uact=5&oq=soybean+fertilizer&gs_lcp=Cgtwcm9kdWN0cy1jYxADMgUIABCABDIECAAQGDIECAAQGDIGCAAQBxAeMgYIABAHEB4yBggAEB4QGDIGCAAQHhAYMgYIABAeEBgyBggAEB4QGDIICAAQBRAeEBg6CAgAEIAEELADOgcIABCwAxAYOgkIABCwAxAeEBg6CwgAELADEAUQHhAYOgQIABANOgYIABANEBg6BggAEAoQGDoKCAAQCBANEB4QGDoICAAQCBAeEBg6CAgAEA0QHhAYOgoIABANEAUQHhAYSgQIQRgBUIcFWLEdYL4faAJwAHgAgAGiAYgBtAeSAQMxLjeYAQCgAQHIAQrAAQE&sclient=products-cc
26,Squash___Powdery_mildew,No powdery mildew 1 quart,https://cdn.shopify.com/s/files/1/1667/9587/products/415B_2BfINScL.jpg?v=1536320654,https://www.google.com/search?q=Squash+Powdery+mildew+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=80d5YqTFCMqkwAOSiazIDA&ved=0ahUKEwjkivfQ8dL3AhVKEnAKHZIEC8kQ4dUDCAY&uact=5&oq=Squash+Powdery+mildew+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADSgQIQRgAUABYnDNgzT5oAHAAeACAAYoBiAHJBZIBAzEuNZgBAKABAqABAcABAQ&sclient=products-cc
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSV3dLQAuhGWWsZSX3Ray15J_uSeFgSo7oLE0G2BxPFSwVNnOUY7VsBbLzDbw_mzUw3ZFLaF4kPWPyzatefP2bnSZwEbwrYnGGYgEl8rS6XWmwRnloOWnwy&usqp=CAE,https://www.google.com/search?q=strawberry+leaf+scorch+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=a0h5Yo6aKs6AoASTuofYDA&oq=strawberry+leaf+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADGAAyCAgAEAgQHhAYMggIABAIEB4QGDoGCAAQChAYOgYIABAHEB46BggAEA0QGDoKCAAQDRAFEB4QGDoMCAAQDRAFEAoQHhAYOggIABANEB4QGDoKCAAQCBANEB4QGDoMCAAQCBANEAoQHhAYOgQIABAYOgYIABAeEBg6CAgAEAUQHhAYSgQIQRgAUABYnCVgui9oA3AAeACAAYcBiAGlDZIBBDMuMTOYAQCgAQHAAQE&sclient=products-cc
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://rukminim1.flixcart.com/image/416/416/k2urhjk0/soil-manure/q/y/d/500-organic-plant-growth-promoter-strawberry-swiss-green-original-imafm3vx8mzyhxzg.jpeg?q=70,https://www.google.com/search?q=strawberry+fertilizer&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=QUh5YvXSMpqhoASBnpKwDA&oq=strwber+fertilizer&gs_lcp=Cgtwcm9kdWN0cy1jYxABGAAyBAgAEA0yBAgAEA0yBAgAEA0yBggAEA0QGDIGCAAQDRAYMgYIABANEBgyBggAEA0QGDIGCAAQDRAYMgYIABANEBgyBggAEA0QGDoICAAQgAQQsAM6BwgAELADEBg6CQgAELADEAgQHjoJCAAQsAMQHhAYOgsIABCwAxAFEB4QGDoKCAAQDRAFEB4QGDoKCAAQsQMQgwEQQzoECAAQQzoFCAAQgAQ6BggAEAcQHjoICAAQCBAHEB46CAgAEAcQBRAeOgYIABAIEB46CggAEAgQDRAeEBhKBAhBGAFQpwFYwjBg0jdoBHAAeACAAZwBiAHeCpIBBDEuMTGYAQCgAQHIAQrAAQE&sclient=products-cc
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRKHQh4EwbE0ksZ_RTOhsGtvTO68zllR9djrYvUrZ-DO6FYo2kYpmyFL8UgaK6aiHJuUWbkax_uhcxMpGfwSHa2CKWqaIZnFp1vIRbGkrZhtGv-Zq-72y61&usqp=CAE,https://www.google.com/search?q=tomato+bacterial+spot+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=gEh5YvHpHcKT-AaLrbjABw&ved=0ahUKEwjxqaqU8tL3AhXCCd4KHYsWDngQ4dUDCAY&uact=5&oq=tomato+bacterial+spot+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADOgcIABCwAxAYOgYIABAHEB46BAgAEA06BggAEA0QGDoICAAQCBAHEB46CAgAEA0QHhAYOgUIABCABDoECAAQGDoGCAAQHhAYOgoIABAIEA0QHhAYSgQIQRgBUNkPWP06YOg7aAFwAHgAgAGsAYgBpBKSAQQyLjE5mAEAoAEByAEBwAEB&sclient=products-cc
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://farmagritech.com/wp-content/uploads/2019/11/F-Nativo-3.jpg,https://www.google.com/search?q=early+blight+tomato+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=s0h5Yr-MMc6AoASTuofYDA&oq=tomato+early+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADGAAyCAgAEAgQHhAYMggIABAIEB4QGDoECAAQDToGCAAQDRAYOggIABANEB4QGDoKCAAQCBANEB4QGEoECEEYAVDBElj0F2CEJ2gCcAB4AIABcogBnQSSAQMwLjWYAQCgAQHAAQE&sclient=products-cc
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRpQmIM9QZkFI43PPlHVFaSlGdrdMP8LFHXAo9b_OGOQCi3R6G-SsqnCXFR4CU9bVAcyuBGTrQRAkRrU9fm-1TGeXg9PrsB&usqp=CAE,https://www.google.com/search?q=late+blight+tomato+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=xkh5YvbvOMf4hwOm3au4Aw&ved=0ahUKEwj26vW18tL3AhVH_GEKHabuCjcQ4dUDCAY&uact=5&oq=late+blight+tomato+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADMgYIABAeEBgyCAgAEAgQHhAYOgkIABCwAxAeEBg6CwgAELADEAgQHhAYOgoIABANEAUQHhAYOgoIABAIEA0QHhAYSgQIQRgBUNoOWMcSYJcUaARwAHgAgAF3iAGwBJIBAzAuNZgBAKABAcgBAsABAQ&sclient=products-cc
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQfgH6lswqhV2hUhqZwEfgQBU1eUP1GCvETxg_a3JFOERS2tc80k8gNMbHM_XxReblck1T7tR95X8Qojdj1k0yAyvhmCZHvkFWaT_L-a8ofElEXerVJqvsF&usqp=CAE,https://www.google.com/search?q=tomato+leaf+mold+fungicide&sa=X&rlz=1C1ONGR_enIN987IN987&biw=1920&bih=929&tbm=shop&ei=2Eh5YpPhH4qf-AbSr6bADA&ved=0ahUKEwiTrae-8tL3AhWKD94KHdKXCcgQ4dUDCAY&uact=5&oq=tomato+leaf+mold+fungicide&gs_lcp=Cgtwcm9kdWN0cy1jYxADMgQIABAYOgUIABCABDoGCAAQHhAYOggIABANEB4QGDoKCAAQCBANEB4QGDoICAAQCBAeEBhKBAhBGABQAFjGJ2ChKmgAcAB4AIABpAGIAZMKkgEDMy45mAEAoAEBwAEB&sclient=products-cc
